PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,Toluene,AQI,year,month,day,weekday,dayofyear,Date,City
32.72,80.35,4.68,21.05,20.81,30.1,0.79,9.5,1.15,97.0,2020.0,6.0,15.0,0.0,167.0,2020-06-15,Jaipur
107.69,289.98,41.43,61.17,50.77,43.01,0.64,29.545,17.79,304.0,2017.0,4.0,12.0,2.0,102.0,2017-04-12,Delhi
76.91,143.75,6.01,36.9,35.2,32.89,0.83,10.81,8.37,188.0,2019.0,11.0,10.0,6.0,314.0,2019-11-10,Jaipur
28.22,153.3,5.8,21.5,21.78,27.79,2.09,2.69,4.5,61.0,2015.0,11.0,13.0,4.0,317.0,2015-11-13,Bengaluru
20.8,53.42,15.49,6.96,21.92,5.42,0.33,15.2,4.594523859907781,68.0,2020.0,4.0,30.0,3.0,121.0,2020-04-30,Mumbai
85.04,164.64528829535038,9.57,33.07,24.01,9.94,1.12,7.45,21.975,183.0,2019.0,5.0,8.0,2.0,128.0,2019-05-08,Lucknow
135.89,210.83,31.14,39.22,69.02,26.91,2.07,11.24,1.99,261.0,2020.0,1.0,17.0,4.0,17.0,2020-01-17,Patna
26.9,65.04,6.83,26.29,28.93,14.38,0.95,5.81,1.65,86.0,2020.0,1.0,18.0,5.0,18.0,2020-01-18,Bengaluru
90.57462010488167,169.9576534017142,8.72,11.4,12.7,62.17999999999999,0.9,6.31,8.04,213.60778934711288,2015.0,2.0,22.0,6.0,53.0,2015-02-22,Chennai
22.44,68.19602870858944,25.51,21.59,4.86,28.03,0.0,9.542483312250397,0.0,39.0,2017.0,7.0,13.0,3.0,194.0,2017-07-13,Delhi
21.33,58.71,0.9,4.75,3.16,3.1,0.62,1.49,2.0094931723401714,80.0,2019.0,3.0,5.0,1.0,64.0,2019-03-05,Thiruvananthapuram
52.43,98.35817130854275,5.71,8.46,4.3,20.567820444015297,1.34,8.18,0.18,107.0,2015.0,9.0,3.0,3.0,246.0,2015-09-03,Lucknow
33.78,100.73,17.69,11.47,27.21,12.03,0.68,23.06,2.03,96.0,2020.0,3.0,21.0,5.0,81.0,2020-03-21,Amritsar
50.42,282.23,31.2,34.74,69.03,19.05,2.86,10.61,5.54,329.0,2016.0,9.0,6.0,1.0,250.0,2016-09-06,Delhi
55.39,66.71,0.63,42.62,43.26,21.41078558006143,0.8,14.15,0.0,120.0,2020.0,2.0,15.0,5.0,46.0,2020-02-15,Coimbatore
28.56,62.46079708850243,2.45,30.44,15.60182918159785,20.830062964009358,0.89,6.98,0.0,72.0,2017.0,8.0,2.0,2.0,214.0,2017-08-02,Gurugram
